src,dst,split,class
data\cleaned\Pepper__bell___Bacterial_spot\ea9d49e5-e3ee-4429-8592-4ce9a910376f___NREC_B.Spot 1821.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ea9d49e5-e3ee-4429-8592-4ce9a910376f___NREC_B.Spot 1821.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b6843d4e-85a6-4e1f-97a9-e892720406fe___JR_B.Spot 8974.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b6843d4e-85a6-4e1f-97a9-e892720406fe___JR_B.Spot 8974.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e90ac690-4fbd-4ded-94f2-af7373479164___JR_B.Spot 8931.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e90ac690-4fbd-4ded-94f2-af7373479164___JR_B.Spot 8931.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e96d2d14-4400-4c28-894e-be7c071743f4___NREC_B.Spot 9175.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e96d2d14-4400-4c28-894e-be7c071743f4___NREC_B.Spot 9175.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bb696cc0-eef2-40e1-a0c0-9df002d0d413___NREC_B.Spot 9243.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bb696cc0-eef2-40e1-a0c0-9df002d0d413___NREC_B.Spot 9243.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b48a8fc2-be1c-4116-9336-7335a341c512___JR_B.Spot 9020.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b48a8fc2-be1c-4116-9336-7335a341c512___JR_B.Spot 9020.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e9714b47-3088-4ef5-9f18-02983c4558fc___JR_B.Spot 3144.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e9714b47-3088-4ef5-9f18-02983c4558fc___JR_B.Spot 3144.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b34482ab-b18b-4d93-b3f6-9143a7e5c9b0___JR_B.Spot 3394.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b34482ab-b18b-4d93-b3f6-9143a7e5c9b0___JR_B.Spot 3394.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eb2fd423-38f8-42b5-88bf-4fdc81adba95___JR_B.Spot 8952.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eb2fd423-38f8-42b5-88bf-4fdc81adba95___JR_B.Spot 8952.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bac5f227-64b0-4064-9716-611dd35c2897___JR_B.Spot 3103.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bac5f227-64b0-4064-9716-611dd35c2897___JR_B.Spot 3103.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ef606668-5aae-4600-a788-1834b6bc3f49___NREC_B.Spot 1804.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ef606668-5aae-4600-a788-1834b6bc3f49___NREC_B.Spot 1804.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e91037f2-392c-45de-a2eb-2abd31ca3089___JR_B.Spot 3267.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e91037f2-392c-45de-a2eb-2abd31ca3089___JR_B.Spot 3267.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bc5d56b1-e0e0-4271-90a7-4d4bf2ed0fd8___JR_B.Spot 8939.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bc5d56b1-e0e0-4271-90a7-4d4bf2ed0fd8___JR_B.Spot 8939.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ed668b2e-9249-4905-b5ea-9ef6bb4417dd___NREC_B.Spot 1974.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ed668b2e-9249-4905-b5ea-9ef6bb4417dd___NREC_B.Spot 1974.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b88f7b81-a3d2-4813-bb76-f583bdac2762___NREC_B.Spot 9223.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b88f7b81-a3d2-4813-bb76-f583bdac2762___NREC_B.Spot 9223.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ebe12503-1abc-4e09-9eee-3180b67c29f4___JR_B.Spot 8849.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ebe12503-1abc-4e09-9eee-3180b67c29f4___JR_B.Spot 8849.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\ea679763-149c-44b1-9593-e82242f303cb___NREC_B.Spot 1985.JPG,data\processed\train\Pepper__bell___Bacterial_spot\ea679763-149c-44b1-9593-e82242f303cb___NREC_B.Spot 1985.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\e80de14e-9d15-4dc6-b519-6d5af14ba216___JR_B.Spot 8835.JPG,data\processed\train\Pepper__bell___Bacterial_spot\e80de14e-9d15-4dc6-b519-6d5af14ba216___JR_B.Spot 8835.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\eac1d76c-1faf-4abb-b3f6-a4b2fff350d2___JR_B.Spot 3119.JPG,data\processed\train\Pepper__bell___Bacterial_spot\eac1d76c-1faf-4abb-b3f6-a4b2fff350d2___JR_B.Spot 3119.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\bba6a3b8-273f-4cfa-a41c-9fc0698dbe9f___JR_B.Spot 9021.JPG,data\processed\train\Pepper__bell___Bacterial_spot\bba6a3b8-273f-4cfa-a41c-9fc0698dbe9f___JR_B.Spot 9021.JPG,train,Pepper__bell___Bacterial_spot
data\cleaned\Pepper__bell___Bacterial_spot\b1739803-02e8-4974-b230-37923c2010cc___NREC_B.Spot 1921.JPG,data\processed\train\Pepper__bell___Bacterial_spot\b1739803-02e8-4974-b230-37923c2010cc___NREC_B.Spot 1921.JPG,train,Pepper__bell___Bacterial_spot
